lang	original-tag	common-superset-tag
da	I-noun.institution	I-noun.group
da	B-adj.all	O
da	I-adj.all	O
da	B-verb.PARTICLE	O
da	B-verb.COLL	O
da	I-verb.COLL	O
da	B-verb.REFLPRON	O
da	O	O
da	B-noun.process	B-noun.act
da	I-noun.process	I-noun.act
da	B-noun.Tops	B-noun.Tops
da	I-noun.Tops	I-noun.Tops
