 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Kurset, som kombinerer tre sanser : syns- , høre- og følesansen , udbydes normalt på Tasteskolen i København , og her har 24 dansklærere fra gymnasiet fået undervisning siden foråret .
1-1	Kurset	B-noun.event	
8-35	og	O	
8-36	talremser	B-noun.artifact	
8-37	.	O	

#id=9
#text=Tilgengæld er det  nu sjovt at sidde og skrive på maskine derhjemme , siger de samstemmende .
9-1	Til	O	
9-2	gengæld	O	
9-3	er	B-verb.stative	
9-4	det	O	
9-5	nu	O	
9-6	sjovt	B-adj.mental	
9-7	at	O	
9-8	sidde	B-verb.stative	
9-9	og	O	
9-10	skrive	B-verb.creation	
9-11	på	O	
9-12	maskine	B-noun.artifact	
9-13	derhjemme	O	
9-14	,	O	
9-15	siger	B-verb.communication	
9-16	de	O	
9-17	samstemmende	B-adj.phys	
9-18	.	O	

